NAME,RA,DEC,S1400
000000-040242,0.0006667,-4.0450833,106.8
000000+004100,0.001625,0.6833333,149.5
000001-002209,0.006875,-0.3693611,212.5
000002+095706,0.0119583,9.9518333,301.4
000025-124341,0.1055417,-12.7280556,124.2
000031-025143,0.1317917,-2.8621389,149.0
000031-015808,0.1319583,-1.9691389,111.8
000040-142347,0.1675833,-14.3964444,308.8
000042-101335,0.177875,-10.2265833,192.3
000057-105432,0.2402083,-10.9089444,396.7
000105-155106,0.2719167,-15.8519167,347.5
000105-165924,0.2728333,-16.99025,730.1
000106-174126,0.2760833,-17.6908056,447.4
000108-123314,0.2867083,-12.5540278,317.9
000113+081948,0.3062917,8.3301667,223.8
000115-082642,0.3132917,-8.4451111,151.1
000115+084637,0.3149583,8.7769722,408.3
000116+082110,0.3201667,8.3528333,173.7
000118-074626,0.325,-7.7740833,208.4
000121-001139,0.3405,-0.1942222,110.6
000124-043801,0.3520417,-4.6337222,632.3
000125+093618,0.3565417,9.6051667,142.9
000126-132633,0.3585417,-13.4425833,446.6
000134+072312,0.3936667,7.3868333,122.7
000141-154040,0.4232083,-15.6779444,436.2
000144+060733,0.4338333,6.1259444,177.2
000150-090840,0.4602917,-9.1446944,116.3
000154+020453,0.479125,2.0814167,300.7
000209-024622,0.5380833,-2.773,188.3
000217+040807,0.5727083,4.1354167,161.6
000221-140643,0.5908333,-14.1119444,823.5
000225-074334,0.6070417,-7.7261944,248.5
000234-052324,0.6438333,-5.3901389,235.4
000235+040643,0.6460417,4.1121111,155.0
000236-052904,0.6522917,-5.4845,105.3
000237-155159,0.6575,-15.8664444,127.1
000241-041157,0.6735417,-4.19925,207.6
000246-154803,0.6922083,-15.8010278,148.3
000257-002448,0.738375,-0.4134167,178.4
000301-062659,0.7575,-6.4499722,183.8
000304-182622,0.7684583,-18.4396111,121.5
000306-130750,0.7786667,-13.1308056,238.6
000308-144003,0.7857083,-14.6677222,347.7
000310-161506,0.792625,-16.2518333,384.4
000311-144052,0.7972083,-14.6811944,356.7
000311+035019,0.7979583,3.8386111,197.7
000315-153015,0.8158333,-15.5042778,257.4
000315-194149,0.816625,-19.6971111,232.3
000318-192721,0.8279583,-19.4560278,170.5
000320-070556,0.8365833,-7.0988889,126.6
000322-172711,0.8416667,-17.4531667,2414.8
000323-120253,0.8472917,-12.0481111,223.8
000324-015653,0.8513333,-1.9482222,253.9
000327-154706,0.8635,-15.7850833,527.3
000332-151714,0.8874167,-15.2874167,254.1
000333+033648,0.888625,3.6135556,100.7
000335-192504,0.8967917,-19.4177778,106.9
000337+013403,0.9074167,1.5675,104.5
000340+040102,0.918,4.0173333,110.3
000342-174026,0.9271667,-17.6741111,349.4
000342-115149,0.9284583,-11.8636944,351.7
000345-110820,0.93825,-11.1390556,353.4
000349-031900,0.9564167,-3.3168889,104.3
000352-142220,0.967125,-14.3722222,189.3
000355-032322,0.9812083,-3.3894722,206.8
000356-105300,0.9846667,-10.8835556,398.3
000359+053845,0.999875,5.6460556,107.8
000401+060730,1.006625,6.1250278,291.1
000404-114858,1.0204167,-11.8162222,459.2
000406-151811,1.0280833,-15.3033056,166.4
000422-024704,1.0928333,-2.7844722,103.7
000423-040350,1.0996667,-4.0640833,109.2
000430-073344,1.1260833,-7.5624167,134.2
000446-065950,1.1927083,-6.9974722,115.9
000503-194956,1.26625,-19.8322222,191.3
000509-072609,1.2914167,-7.4359722,237.0
000511-075557,1.2968333,-7.9326111,102.1
000514+042508,1.3110833,4.4190556,219.5
000517-164805,1.3249583,-16.8015278,261.8
000520+052410,1.33425,5.4028056,126.6
000535-172332,1.3972083,-17.3923611,182.6
000539-090408,1.4152917,-9.0689722,123.9
000545-003447,1.4406667,-0.5799167,114.9
000547-193909,1.449,-19.6526944,166.0
000555-052658,1.4830833,-5.4496667,103.0
000559-061150,1.496375,-6.19725,497.3
000604-051559,1.5169583,-5.2666111,100.6
000606+005401,1.525125,0.9003056,454.8
000607-145350,1.5302083,-14.8973889,127.5
000611-014150,1.5465,-1.6973056,163.0
000612+063932,1.5525833,6.6590278,119.5
000613-062335,1.5577917,-6.3931111,2050.7
000616+053954,1.570125,5.6651111,103.6
000622-000425,1.5941667,-0.0736389,3897.6
000626-045919,1.6104167,-4.9888611,127.9
000630-125312,1.6280417,-12.8867222,315.1
000632+054851,1.6355,5.8141944,104.8
000646+065109,1.6937083,6.8526667,475.8
000649+082011,1.7079167,8.3365833,189.5
000654-095931,1.7277917,-9.9920833,100.6
000658+064838,1.745625,6.8107222,238.6
000706+053608,1.777,5.6024722,574.3
000712+053534,1.8009583,5.5930278,216.2
000713+001541,1.806,0.2615556,148.2
000726-135903,1.8617917,-13.9842778,102.2
000730-004815,1.8775417,-0.8043333,147.9
000733-131814,1.8909583,-13.3040556,159.5
000739+060101,1.9140833,6.017,139.3
000743+022631,1.9324583,2.4421944,112.7
000749-111544,1.9551667,-11.2623333,123.1
000805-053316,2.024875,-5.5545278,271.2
000808+024356,2.035875,2.7323333,108.0
000810-125121,2.0422917,-12.8558889,203.8
000811-194002,2.04725,-19.6673333,254.5
000814-071449,2.058375,-7.247,139.6
000818-193943,2.07775,-19.6619722,383.7
000819+083841,2.0825833,8.6448056,102.5
000828-132931,2.1166667,-13.4919444,191.7
000829-055845,2.1221667,-5.9793611,1321.9
000831-142000,2.1292917,-14.3334167,603.5
000831+054554,2.1295417,5.7651111,115.2
000838-171042,2.1604167,-17.1785,310.3
000845+022849,2.189625,2.4804722,142.2
000848+042413,2.2019167,4.40375,130.8
000849-001641,2.2072917,-0.2781944,141.9
000853+014315,2.222,1.7209444,186.8
000854-160852,2.2270833,-16.1478889,230.5
000904+062821,2.267,6.4726944,246.1
000915-021855,2.316625,-2.3154444,116.0
000917+062554,2.3209583,6.4316667,179.5
000918+045756,2.328875,4.96575,320.6
000920-074057,2.3350833,-7.6826389,269.9
000920-073143,2.3357083,-7.52875,211.4
000934+052548,2.394625,5.4301389,196.6
000935+085449,2.3964167,8.9138056,108.5
000935+060200,2.3972083,6.0334167,184.3
000935-035142,2.399375,-3.8618889,116.3
000941-075752,2.424,-7.9645,160.1
000958+015755,2.4942917,1.9653333,270.7
001000-043348,2.5014583,-4.5635278,168.0
001033-112016,2.639375,-11.3378889,117.7
001035+011146,2.6484167,1.1961389,146.1
001036-130904,2.6514583,-13.1511111,193.6
001038-185935,2.6602083,-18.9931389,333.0
001038-005140,2.662,-0.86125,119.9
001042-060334,2.6787917,-6.0596389,192.7
001046-060403,2.6956667,-6.0677222,255.7
001051-130226,2.7145,-13.0405556,102.9
001104+085154,2.7675417,8.86525,101.3
001111+034234,2.7982917,3.7095278,122.8
001111-025938,2.7990417,-2.9941389,256.7
001114+041641,2.812125,4.27825,102.2
001115+053310,2.8165833,5.5530278,130.1
001128+010621,2.869875,1.1058333,151.5
001130+005751,2.8764167,0.9643333,167.0
001134+053555,2.8940417,5.5986667,115.0
001135+082355,2.8969167,8.3988056,625.3
001140-143404,2.9183333,-14.5679722,174.4
001149-054217,2.9564583,-5.7049722,145.0
001155+083400,2.980125,8.5667222,104.1
001157-112751,2.9897083,-11.4642778,103.3
001207+041017,3.0332917,4.1714444,175.7
001211-192404,3.0479583,-19.4013611,104.6
001213+061009,3.0565417,6.16925,254.5
001223-050007,3.0983333,-5.0019722,116.2
001225-184808,3.1047917,-18.8024167,418.2
001228-183532,3.1169583,-18.5923889,212.6
001230-180433,3.125375,-18.0759167,133.1
001231-114039,3.13325,-11.67775,158.9
001241-143112,3.1734583,-14.52,251.4
001249-124812,3.2051667,-12.8035833,115.5
001253+035529,3.2215833,3.9248889,220.7
001253-102026,3.22225,-10.3408056,120.9
001300-043939,3.252375,-4.6610833,204.0
001302+062405,3.2612917,6.4014722,146.8
001310+005142,3.2954583,0.8617778,1620.1
001320-151348,3.3362917,-15.2300556,117.4
001323-160126,3.3486667,-16.0240556,107.7
001324-133248,3.3504167,-13.5469167,186.5
001329+053805,3.3708333,5.6349444,135.7
001334-093830,3.3918333,-9.6416944,228.9
001354-042352,3.4755417,-4.398,303.1
001356-092000,3.4872083,-9.3334444,814.4
001401+054510,3.5065417,5.7529722,1349.0
001414-153638,3.5621667,-15.6106944,207.8
001419+085402,3.582875,8.9006111,324.4
001424-082704,3.6009167,-8.4511111,108.6
001425-020556,3.606375,-2.0988889,448.7
001444+092429,3.6869167,9.4081667,100.2
001450+025938,3.7111667,2.9939167,160.1
001452-075230,3.717,-7.8751944,184.0
001454-095911,3.7289583,-9.9865556,406.1
001502-181249,3.7605,-18.21375,386.5
001503-003459,3.764125,-0.5833056,147.3
001508+082803,3.785375,8.4677222,384.0
001514-081643,3.809125,-8.2788333,265.9
001514-152910,3.8099167,-15.4863056,104.4
001522-151340,3.8439583,-15.2279722,229.9
001525+080150,3.85675,8.0306111,166.7
001534-180725,3.8930417,-18.1237778,363.2
